country,incidents,deaths,mean_severity,recent,recency,frequency_n,lethality_n,intensity_n,recency_n,pressure_index
South Vietnam,1,81.0,81.0,0.0,0.0,0.0,0.39094387397094843,1.0,0.0,0.2672831621912845
Norway,19,79.0,6.473684210526316,5.0,0.2631578947368421,0.2444654352989764,0.3887532588936351,0.07992202729044834,0.2631578947368421,0.2658741400917746
Eritrea,10,46.0,7.7,5.0,0.5,0.18099308716633125,0.34156739613192477,0.09506172839506173,0.5,0.26412671296536916
Dominican Republic,90,34.0,1.0666666666666667,3.0,0.03333333333333333,0.4053264778144448,0.3154141361142229,0.01316872427983539,0.03333333333333333,0.2637301406020201
Czech Republic,32,6.0,0.640625,19.0,0.59375,0.29763274239176735,0.1726322030937977,0.007908950617283951,0.59375,0.26109160047743885
Togo,48,76.0,1.9375,0.0,0.0,0.33960309151675,0.3853624485947779,0.023919753086419752,0.0,0.25503793414809633
Belarus,13,14.0,9.23076923076923,7.0,0.5384615384615384,0.20659726022239705,0.24024576496085054,0.11396011396011395,0.5384615384615384,0.25257588144046184
Madagascar,27,31.0,4.574074074074074,7.0,0.25925925925925924,0.2801886891504412,0.3074641573415124,0.0564700502972108,0.25925925925925924,0.2516741192961007
Uzbekistan,21,68.0,8.0,3.0,0.14285714285714285,0.2545845160943754,0.37563046494066393,0.09876543209876543,0.14285714285714285,0.25076633216333555
Laos,27,27.0,2.3518518518518516,8.0,0.2962962962962963,0.2801886891504412,0.2956178660304027,0.029035208047553725,0.2962962962962963,0.24956056112087477
Armenia,24,37.0,3.0208333333333335,6.0,0.25,0.2681565838138204,0.32270992214205413,0.037294238683127576,0.25,0.24716974597061356
Kyrgyzstan,35,10.0,0.6571428571428571,13.0,0.37142857142857144,0.3068707393789163,0.21273024550098021,0.008112874779541446,0.37142857142857144,0.24349858633307753
Bhutan,6,9.0,1.9166666666666667,5.0,0.8333333333333334,0.13300583129435295,0.20427476448872772,0.023662551440329218,0.8333333333333334,0.24303414458040887
Suriname,66,29.0,0.6212121212121212,0.0,0.0,0.3728207426027058,0.301738596429153,0.007669285447063225,0.0,0.2408002687868877
Jamaica,36,42.0,1.6666666666666667,3.0,0.08333333333333333,0.3097796881825991,0.3336763840632858,0.0205761316872428,0.08333333333333333,0.23960121024511183
Guyana,26,41.0,2.0384615384615383,4.0,0.15384615384615385,0.2763275367482641,0.3315888665025255,0.0251661918328585,0.15384615384615385,0.23685952650191516
Lesotho,29,46.0,2.1724137931034484,2.0,0.06896551724137931,0.2875136615963684,0.34156739613192477,0.02681992337164751,0.06896551724137931,0.2318434995700788
Costa Rica,67,17.0,0.5373134328358209,0.0,0.0,0.37439366010593994,0.25642049534915307,0.006633499170812604,0.0,0.22767863752274378
New Caledonia,31,35.0,1.5,0.0,0.0,0.29436571571217657,0.3179133268174556,0.018518518518518517,0.0,0.2158980621078851
Uruguay,82,6.0,0.10975609756097561,1.0,0.012195121951219513,0.3955568322974021,0.1726322030937977,0.0013550135501355014,0.012195121951219513,0.2120449141723034
Denmark,41,5.0,0.47560975609756095,8.0,0.1951219512195122,0.3232369154478332,0.1589566634087278,0.005871725383920506,0.1951219512195122,0.20713081669226652
Hungary,46,6.0,0.31521739130434784,6.0,0.13043478260869565,0.33517870177469705,0.1726322030937977,0.0038915727321524422,0.13043478260869565,0.20601009493914532
Poland,39,9.0,0.6282051282051282,4.0,0.10256410256410256,0.31805686422702056,0.20427476448872772,0.007755618866729977,0.10256410256410256,0.20505313325205143
Guadeloupe,56,8.0,0.5446428571428571,0.0,0.0,0.3556592819944589,0.19492766388085064,0.006723985890652557,0.0,0.20175060984563667
South Korea,38,10.0,2.026315789473684,2.0,0.05263157894736842,0.3153688728174838,0.21273024550098021,0.025016244314489927,0.05263157894736842,0.20161379626656634
Moldova,21,13.0,2.7142857142857144,3.0,0.14285714285714285,0.2545845160943754,0.23412503456210018,0.03350970017636684,0.14285714285714285,0.19852634326140667
Ghana,19,19.0,1.3421052631578947,2.0,0.10526315789473684,0.2444654352989764,0.2657675959570302,0.016569200779727095,0.10526315789473684,0.1957913067078692
Barbados,3,76.0,25.833333333333332,0.0,0.0,0.07359142892804414,0.3853624485947779,0.31893004115226337,0.0,0.19288481232249052
Gabon,8,6.0,0.9375,4.0,0.5,0.15968788152282803,0.1726322030937977,0.011574074074074073,0.5,0.19240092464838165
Trinidad and Tobago,22,6.0,1.0681818181818181,5.0,0.22727272727272727,0.25930395926272987,0.1726322030937977,0.01318742985409652,0.22727272727272727,0.19158026820225482
Malta,23,5.0,0.4782608695652174,5.0,0.21739130434782608,0.2638225130815244,0.1589566634087278,0.005904455179817499,0.21739130434782608,0.18671036818437464
Guinea-Bissau,9,17.0,3.388888888888889,2.0,0.2222222222222222,0.17087400637093228,0.25642049534915307,0.04183813443072702,0.2222222222222222,0.18488480465106122
Malawi,5,33.0,6.6,1.0,0.2,0.11663965522543608,0.31284249509825846,0.08148148148148147,0.2,0.1827308328418742
Cuba,30,8.0,0.43333333333333335,0.0,0.0,0.2909949567433701,0.19492766388085064,0.005349794238683128,0.0,0.17567875099740574
Swaziland,16,6.0,0.46875,3.0,0.1875,0.2272108022498516,0.1726322030937977,0.005787037037037037,0.1875,0.17166703738363548
New Zealand,20,1.0,0.1,7.0,0.35,0.24964548651978902,0.061492831468302485,0.0012345679012345679,0.35,0.17099122923359156
Czechoslovakia,10,27.0,3.85,0.0,0.0,0.18099308716633125,0.2956178660304027,0.047530864197530866,0.0,0.16821222430528293
Hong Kong,26,4.0,2.1153846153846154,1.0,0.038461538461538464,0.2763275367482641,0.14278193302042522,0.026115859449192782,0.038461538461538464,0.16305220429204292
